crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	Inf	1611	0.000000
281474976710655.000000	Inf	1612	0.000000
281474976710655.000000	-150.142639	1613	0.000000
281474976710655.000000	Inf	1614	0.000000
281474976710655.000000	Inf	1615	0.000000
281474976710655.000000	Inf	1616	0.000000
281474976710655.000000	-122.516510	1617	0.000000
281474976710655.000000	-60.416737	1618	0.000000
281474976710655.000000	-75.162720	1619	0.000000
281474976710655.000000	-211.955231	1620	0.000000
281474976710655.000000	-95.113152	1621	0.000000
281474976710655.000000	-172.785950	1622	0.000000
281474976710655.000000	-56.318913	1623	0.000000
281474976710655.000000	-82.572105	1624	0.000000
281474976710655.000000	-72.173210	1625	0.000000
281474976710655.000000	-69.318237	1626	0.000000
281474976710655.000000	-62.627754	1627	0.000000
281474976710655.000000	-37.661819	1628	0.000000
281474976710655.000000	-36.458023	1629	0.000000
281474976710655.000000	-38.649471	1630	0.000000
281474976710655.000000	-44.206108	1631	0.000000
281474976710655.000000	-54.558880	1632	0.000000
281474976710655.000000	-41.320618	1633	0.000000
281474976710655.000000	-34.849831	1634	0.000000
281474976710655.000000	-30.625334	1635	0.000000
281474976710655.000000	-33.356358	1636	0.000000
281474976710655.000000	-33.486046	1637	0.000000
281474976710655.000000	-26.936937	1638	0.000000
281474976710655.000000	-25.385443	1639	0.000000
281474976710655.000000	-25.458876	1640	0.000000
281474976710655.000000	-21.110102	1641	0.000000
281474976710655.000000	-21.313522	1642	0.000000
281474976710655.000000	-17.573519	1643	0.000000
281474976710655.000000	-17.055668	1644	0.000000
281474976710655.000000	-14.929316	1645	0.000000
281474976710655.000000	-15.088658	1646	0.000000
281474976710655.000000	-12.785192	1647	0.000000
281474976710655.000000	-13.799183	1648	0.000000
281474976710655.000000	-11.175603	1649	0.000000
281474976710655.000000	-11.977282	1650	0.000000
281474976710655.000000	-9.562573	1651	0.000000
281474976710655.000000	-10.070066	1652	0.000000
281474976710655.000000	-8.374485	1653	0.000000
281474976710655.000000	-8.252305	1654	0.000000
