num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
1883	4161.419308	77.004509	1.832408	2.199327	144.561717
1885	4163.505381	74.413106	1.851803	2.200772	126.049511
1887	4165.590336	71.288359	1.863566	2.202348	125.077473
1889	4167.675375	68.168676	1.883222	2.202821	108.335038
1891	4169.760801	65.186117	1.882531	2.203847	100.020510
1893	4171.846454	62.146974	1.884696	2.203944	94.866485
1895	4173.932224	59.402653	1.868978	2.205158	87.726201
1897	4176.017461	56.862299	1.883545	2.206139	77.536916
1899	4178.101883	54.124550	1.881248	2.206499	71.890861
1901	4180.185118	51.686754	1.880328	2.206523	66.382368
1903	4182.268283	49.275558	1.875626	2.205284	56.194515
1905	4184.350822	46.841772	1.862532	2.203960	52.084715
1907	4186.435236	44.428424	1.866934	2.203111	50.487009
1909	4188.522798	41.992727	1.851863	2.205081	44.406178
1911	4190.612529	39.960375	1.818838	2.209409	41.255067
1913	4192.700354	37.961412	1.747133	2.212623	34.922755
1915	4194.785735	36.161870	1.697434	2.212828	31.556817
1917	4196.867161	34.384945	1.647474	2.210909	27.743246
1919	4198.947570	32.650028	1.614112	2.207949	25.142664
1921	4201.030423	30.873849	1.568772	2.206661	23.272597
1923	4203.114195	29.158756	1.536373	2.205856	22.421964
1925	4205.201555	27.587644	1.488060	2.206446	19.377062
1927	4207.288315	26.112175	1.433869	2.207615	18.797530
1929	4209.374777	24.745393	1.384135	2.207600	15.571851
1931	4211.463476	23.394799	1.327183	2.208470	13.219365
1933	4213.550916	22.161801	1.282342	2.208350	11.444805
1935	4215.634000	21.049489	1.238832	2.207570	10.950850
1937	4217.718470	19.930348	1.192229	2.206652	10.125616
